Player,Number of kicks given,Number of kicks received
lostflounder889,0,1
Trichazon6000,0,1
Falconeagle9998,1,1
wise_old_harry,0,1
creepersaredumb,0,1
ALASTOR_666_666,4,1
Lenny_Pro_17,6,1
herohelper23,0,10
deeben,0,4
TacoKat_,1,7
smartcreative29,0,1
kenobi_luke,1,0
ELTONMAN,0,1
MrBeast36,0,1
TannerMist74785,6,3
Maxamusgaming,5,0
ONeucs,8,2
MrBuzzzz,1,0
BravoAlpha101st,2,1
MinecraftIsaac,0,1
Georgethewall,0,1
MrCrazyMan02,3,0
Marshmellows446,1,0
TotableSquid918,1,3
KingKongPro8,0,1
Sighruse,1,0
MrXGalaxy89,8,4
_KiwiKat,2,2
CalmJARJ2014,2,1
Infernoguy6969,6,4
SuperNova7662,0,1
King_Ron_Jo,1,0
ZacharyJava,0,3
Pigee2016,1,2
A1Rsaturn,4,1
KingOfTennis,0,4

ID,Who was kicked,Kicked by,Reason,Time
65,herohelper23,Maxamusgaming,Afk Too Long,"December 28, 2024, 03:52"
64,deeben,Maxamusgaming,Afk Too Long,"December 28, 2024, 03:41"
63,herohelper23,TannerMist74785,afk for too long!,"December 27, 2024, 06:53"
62,deeben,Maxamusgaming,Afk Too Long,"December 27, 2024, 01:59"
61,TannerMist74785,TannerMist74785,,"December 26, 2024, 07:45"
60,Falconeagle9998,Falconeagle9998,test,"December 26, 2024, 02:18"
59,TannerMist74785,TannerMist74785,,"December 26, 2024, 02:05"
58,MrXGalaxy89,TannerMist74785,afk to long.,"December 25, 2024, 06:19"
57,Lenny_Pro_17,TannerMist74785,AFK for over a hour!,"December 25, 2024, 02:30"
56,TannerMist74785,TannerMist74785,Reason:test,"December 25, 2024, 02:29"
55,TacoKat_,Maxamusgaming,Afk Too Long,"December 24, 2024, 08:01"
54,Infernoguy6969,Sighruse,auto clicker,"December 23, 2024, 03:23"
53,MrBeast36,CalmJARJ2014,being afk for more then 1 hour,"December 22, 2024, 08:10"
52,KingOfTennis,Maxamusgaming,Afk for 2+ hours,"December 22, 2024, 08:04"
51,Infernoguy6969,MrXGalaxy89,Afk too long,"December 21, 2024, 12:50"
50,TotableSquid918,ALASTOR_666_666,afk for too long,"December 20, 2024, 09:21"
49,TotableSquid918,MrXGalaxy89,afk too long,"December 20, 2024, 02:18"
48,Pigee2016,MrXGalaxy89,afk too long,"December 18, 2024, 11:19"
47,CalmJARJ2014,CalmJARJ2014,,"December 17, 2024, 12:01"
46,KingKongPro8,MrBuzzzz,,"December 16, 2024, 01:34"
45,KingOfTennis,A1Rsaturn,Afk too long,"December 14, 2024, 07:53"
44,Trichazon6000,ONeucs,Afk too long.,"December 11, 2024, 12:36"
43,lostflounder889,A1Rsaturn,Afk too long,"December 11, 2024, 11:35"
42,ZacharyJava,MrXGalaxy89,Afk too long.,"December 9, 2024, 13:35"
41,MrXGalaxy89,ONeucs,AFK Too Long.,"December 9, 2024, 05:26"
40,_KiwiKat,ONeucs,AFK Too Long.,"December 9, 2024, 04:28"
39,MrXGalaxy89,ONeucs,Afk too long.,"December 7, 2024, 11:56"
38,KingOfTennis,ONeucs,Afk too long.,"December 7, 2024, 06:49"
37,deeben,ALASTOR_666_666,afk for too long,"December 2, 2024, 10:55"
36,herohelper23,MrXGalaxy89,afk too long,"December 1, 2024, 11:48"
35,Infernoguy6969,Infernoguy6969,,"December 1, 2024, 10:08"
34,Infernoguy6969,A1Rsaturn,Afk too long,"December 1, 2024, 09:27"
33,deeben,ALASTOR_666_666,being afk for an hour or more,"December 1, 2024, 08:24"
32,wise_old_harry,A1Rsaturn,Afk too long,"December 1, 2024, 00:46"
31,herohelper23,Lenny_Pro_17,afk to long,"November 30, 2024, 21:46"
30,smartcreative29,Lenny_Pro_17,afk to long,"November 29, 2024, 07:45"
29,ALASTOR_666_666,ALASTOR_666_666,,"November 27, 2024, 12:35"
28,KingOfTennis,ONeucs,AFK too long.,"November 27, 2024, 12:33"
27,ZacharyJava,Lenny_Pro_17,afk to long,"November 27, 2024, 07:55"
26,herohelper23,Lenny_Pro_17,afk to long,"November 25, 2024, 23:06"
25,TacoKat_,ONeucs,Afk too long.,"November 24, 2024, 11:14"
24,herohelper23,Lenny_Pro_17,afk to long,"November 23, 2024, 21:48"
23,herohelper23,Lenny_Pro_17,stealing stuff i gave to strongmind22,"November 23, 2024, 11:14"
22,TacoKat_,MrXGalaxy89,afk too long,"November 23, 2024, 08:34"
21,herohelper23,MrXGalaxy89,afk too long,"November 21, 2024, 10:42"
20,herohelper23,Infernoguy6969,afk for too long,"November 19, 2024, 00:06"
19,A1Rsaturn,Infernoguy6969,afk for too long,"November 17, 2024, 11:25"
18,herohelper23,Infernoguy6969,afk for too long,"November 17, 2024, 10:35"
17,TacoKat_,Infernoguy6969,afk for too long,"November 16, 2024, 11:02"
16,TotableSquid918,MrXGalaxy89,Afk too long.,"November 10, 2024, 09:24"
15,MrXGalaxy89,Infernoguy6969,being afk for to long,"November 10, 2024, 06:09"
14,BravoAlpha101st,_KiwiKat,AFK too long. sorry,"November 3, 2024, 08:02"
13,Georgethewall,BravoAlpha101st,Constant swearing.,"October 31, 2024, 08:14"
12,SuperNova7662,BravoAlpha101st,"needed to leave game, no access to pc at this time","October 23, 2024, 10:36"
11,TacoKat_,_KiwiKat,"Sorry, you have been afk too long.","October 19, 2024, 08:07"
10,creepersaredumb,Pigee2016,,"October 11, 2024, 07:01"
9,ELTONMAN,Marshmellows446,,"October 5, 2024, 04:41"
8,ZacharyJava,TacoKat_,Afk for 13 Hours!,"September 29, 2024, 02:11"
7,ONeucs,MrCrazyMan02,,"September 27, 2024, 05:03"
6,ONeucs,MrCrazyMan02,,"September 27, 2024, 05:03"
5,MinecraftIsaac,MrCrazyMan02,,"September 25, 2024, 00:50"
4,TacoKat_,ONeucs,AFK 16 Hours...,"September 25, 2024, 00:38"
3,TacoKat_,King_Ron_Jo,afk over 2 hours,"September 14, 2024, 10:39"
2,_KiwiKat,kenobi_luke,"sorry, you were afk and the guys wanted to sleep D:","September 14, 2024, 02:12"
1,Pigee2016,TotableSquid918,Timed Out,"September 11, 2024, 11:20"
